Time, Stroke, Point, x, y
769.9399, 0, 0, 799.736, 319.472
770.9372, 0, 1, 799.736, 319.472
771.9354, 0, 2, 799.736, 319.472
772.9321, 0, 3, 799.736, 319.472
774.9266, 0, 4, 799.736, 322.1122
775.9245, 0, 5, 799.736, 322.1122
776.9217, 0, 6, 799.736, 322.1122
776.9217, 0, 7, 799.736, 322.1122
777.9193, 0, 8, 799.736, 322.1122
778.916, 0, 9, 799.736, 322.1122
779.9132, 0, 10, 799.736, 322.1122
780.9103, 0, 11, 799.736, 322.1122
781.9076, 0, 12, 799.736, 322.1122
782.905, 0, 13, 799.736, 327.3927
783.9024, 0, 14, 799.736, 327.3927
784.9, 0, 15, 799.736, 327.3927
785.8972, 0, 16, 799.736, 327.3927
786.8945, 0, 17, 799.736, 327.3927
787.8917, 0, 18, 799.736, 327.3927
788.8889, 0, 19, 799.736, 327.3927
789.8862, 0, 20, 799.736, 327.3927
790.8836, 0, 21, 799.736, 335.3135
791.8809, 0, 22, 799.736, 335.3135
792.8783, 0, 23, 799.736, 335.3135
793.8755, 0, 24, 799.736, 335.3135
794.8729, 0, 25, 799.736, 335.3135
795.8703, 0, 26, 799.736, 335.3135
796.8676, 0, 27, 799.736, 335.3135
797.8649, 0, 28, 799.736, 335.3135
798.8624, 0, 29, 799.736, 343.2343
799.8598, 0, 30, 799.736, 343.2343
800.857, 0, 31, 799.736, 343.2343
801.8543, 0, 32, 799.736, 343.2343
802.8522, 0, 33, 799.736, 343.2343
803.8497, 0, 34, 799.736, 343.2343
804.8463, 0, 35, 799.736, 343.2343
805.8435, 0, 36, 799.736, 343.2343
806.841, 0, 37, 799.736, 353.7954
807.8385, 0, 38, 799.736, 353.7954
808.8357, 0, 39, 799.736, 353.7954
809.8328, 0, 40, 799.736, 353.7954
810.8309, 0, 41, 799.736, 353.7954
811.8276, 0, 42, 799.736, 353.7954
812.8249, 0, 43, 799.736, 353.7954
813.8223, 0, 44, 799.736, 353.7954
814.8195, 0, 45, 799.736, 364.3564
815.8168, 0, 46, 799.736, 364.3564
816.8142, 0, 47, 799.736, 364.3564
817.8117, 0, 48, 799.736, 364.3564
818.8089, 0, 49, 799.736, 364.3564
820.8038, 0, 50, 799.736, 364.3564
821.8009, 0, 51, 799.736, 364.3564
822.7983, 0, 52, 802.3762, 372.2772
823.7956, 0, 53, 802.3762, 372.2772
824.7929, 0, 54, 802.3762, 372.2772
825.7902, 0, 55, 802.3762, 372.2772
826.7876, 0, 56, 802.3762, 372.2772
827.785, 0, 57, 802.3762, 372.2772
828.7833, 0, 58, 802.3762, 372.2772
828.7833, 0, 59, 802.3762, 372.2772
829.7801, 0, 60, 802.3762, 372.2772
830.7774, 0, 61, 802.3762, 377.5578
832.7718, 0, 62, 802.3762, 377.5578
832.7718, 0, 63, 802.3762, 377.5578
833.7691, 0, 64, 802.3762, 377.5578
834.7668, 0, 65, 802.3762, 377.5578
835.7637, 0, 66, 802.3762, 377.5578
836.7608, 0, 67, 802.3762, 377.5578
837.7582, 0, 68, 802.3762, 377.5578
838.7559, 0, 69, 805.0165, 385.4785
839.753, 0, 70, 805.0165, 385.4785
840.7503, 0, 71, 805.0165, 385.4785
841.7476, 0, 72, 805.0165, 385.4785
842.7449, 0, 73, 805.0165, 385.4785
843.7488, 0, 74, 805.0165, 385.4785
844.7396, 0, 75, 805.0165, 385.4785
845.7371, 0, 76, 805.0165, 385.4785
846.7347, 0, 77, 805.0165, 396.0396
847.7314, 0, 78, 805.0165, 396.0396
848.7289, 0, 79, 805.0165, 396.0396
849.7263, 0, 80, 805.0165, 396.0396
850.7235, 0, 81, 805.0165, 396.0396
851.7209, 0, 82, 805.0165, 396.0396
852.7183, 0, 83, 805.0165, 396.0396
852.7183, 0, 84, 805.0165, 396.0396
853.7163, 0, 85, 805.0165, 396.0396
855.7103, 0, 86, 807.6567, 409.2409
856.7077, 0, 87, 807.6567, 409.2409
857.7051, 0, 88, 807.6567, 409.2409
857.7051, 0, 89, 807.6567, 409.2409
858.7036, 0, 90, 807.6567, 409.2409
859.7005, 0, 91, 807.6567, 409.2409
860.6972, 0, 92, 807.6567, 409.2409
861.6943, 0, 93, 807.6567, 409.2409
862.6915, 0, 94, 810.297, 425.0825
863.689, 0, 95, 810.297, 425.0825
864.6862, 0, 96, 810.297, 425.0825
865.684, 0, 97, 810.297, 425.0825
866.6808, 0, 98, 810.297, 425.0825
867.6784, 0, 99, 810.297, 425.0825
868.6755, 0, 100, 810.297, 425.0825
869.673, 0, 101, 810.297, 425.0825
870.6702, 0, 102, 815.5775, 443.5644
871.6677, 0, 103, 815.5775, 443.5644
872.6651, 0, 104, 815.5775, 443.5644
873.6622, 0, 105, 815.5775, 443.5644
874.6596, 0, 106, 815.5775, 443.5644
875.6569, 0, 107, 815.5775, 443.5644
876.6551, 0, 108, 815.5775, 443.5644
876.6551, 0, 109, 815.5775, 443.5644
877.6525, 0, 110, 815.5775, 443.5644
879.6462, 0, 111, 823.4984, 464.6865
880.6445, 0, 112, 823.4984, 464.6865
880.6445, 0, 113, 823.4984, 464.6865
881.6418, 0, 114, 823.4984, 464.6865
882.6384, 0, 115, 823.4984, 464.6865
883.6357, 0, 116, 823.4984, 464.6865
884.633, 0, 117, 823.4984, 464.6865
885.6304, 0, 118, 823.4984, 464.6865
886.6276, 0, 119, 828.7789, 483.1683
887.6249, 0, 120, 828.7789, 483.1683
888.6226, 0, 121, 828.7789, 483.1683
889.6197, 0, 122, 828.7789, 483.1683
890.617, 0, 123, 828.7789, 483.1683
891.6148, 0, 124, 828.7789, 483.1683
892.6117, 0, 125, 828.7789, 483.1683
893.609, 0, 126, 828.7789, 483.1683
894.6064, 0, 127, 836.6996, 506.9307
895.6037, 0, 128, 836.6996, 506.9307
896.601, 0, 129, 836.6996, 506.9307
897.5984, 0, 130, 836.6996, 506.9307
898.5957, 0, 131, 836.6996, 506.9307
899.593, 0, 132, 836.6996, 506.9307
900.5902, 0, 133, 836.6996, 506.9307
901.5883, 0, 134, 836.6996, 506.9307
901.5883, 0, 135, 836.6996, 506.9307
903.5822, 0, 136, 847.2607, 525.4125
904.5795, 0, 137, 847.2607, 525.4125
905.5769, 0, 138, 847.2607, 525.4125
906.5749, 0, 139, 847.2607, 525.4125
906.5749, 0, 140, 847.2607, 525.4125
907.5717, 0, 141, 847.2607, 525.4125
908.5698, 0, 142, 847.2607, 525.4125
909.5665, 0, 143, 847.2607, 525.4125
910.5636, 0, 144, 852.5413, 541.2542
911.5608, 0, 145, 852.5413, 541.2542
912.5583, 0, 146, 852.5413, 541.2542
913.5559, 0, 147, 852.5413, 541.2542
914.5528, 0, 148, 852.5413, 541.2542
918.5424, 0, 149, 865.7426, 557.0957
919.5397, 0, 150, 865.7426, 557.0957
920.5369, 0, 151, 865.7426, 557.0957
921.5341, 0, 152, 865.7426, 557.0957
922.5314, 0, 153, 865.7426, 557.0957
923.5292, 0, 154, 865.7426, 557.0957
924.5261, 0, 155, 865.7426, 557.0957
925.5234, 0, 156, 865.7426, 557.0957
926.5215, 0, 157, 865.7426, 557.0957
927.518, 0, 158, 878.9439, 572.9373
928.5154, 0, 159, 878.9439, 572.9373
929.5127, 0, 160, 878.9439, 572.9373
930.5102, 0, 161, 878.9439, 572.9373
931.5085, 0, 162, 878.9439, 572.9373
